company,year,tipo,region,actual_ton
AUSTRAL GROUP SAA,2016,T1,Norte,240.0
AUSTRAL GROUP SAA,2016,T2,Norte,1470.0
AUSTRAL GROUP SAA,2017,T1,Norte,2045.0
AUSTRAL GROUP SAA,2018,T1,Norte,470.0
AUSTRAL GROUP SAA,2019,T1,Norte,27331.0
AUSTRAL GROUP SAA,2019,T2,Norte,735.0
AUSTRAL GROUP SAA,2020,T1,Norte,34100.0
AUSTRAL GROUP SAA,2020,T2,Norte,13195.0
AUSTRAL GROUP SAA,2021,T1,Norte,24780.0
AUSTRAL GROUP SAA,2021,T2,Norte,2630.0
AUSTRAL GROUP SAA,2022,T2,Norte,10875.0
AUSTRAL GROUP SAA,2023,T1,Norte,130.0
AUSTRAL GROUP SAA,2023,T2,Norte,10.0
AUSTRAL GROUP SAA,2024,T1,Norte,22891.2977998
AUSTRAL GROUP SAA,2025,T1,Norte,2330.3612684
AUSTRAL GROUP SAA,2025,T2,Norte,2514.0
CFG-COPEINCA,2016,T1,Norte,9980.0
CFG-COPEINCA,2016,T2,Norte,53060.0
CFG-COPEINCA,2017,T1,Norte,98899.0
CFG-COPEINCA,2018,T1,Norte,20585.0
CFG-COPEINCA,2018,T2,Norte,19620.0
CFG-COPEINCA,2019,T1,Norte,146815.0
CFG-COPEINCA,2019,T2,Norte,7785.0
CFG-COPEINCA,2020,T1,Norte,114520.0
CFG-COPEINCA,2020,T2,Norte,47562.0
CFG-COPEINCA,2021,T1,Norte,97495.0
CFG-COPEINCA,2021,T2,Norte,8525.0
CFG-COPEINCA,2022,T1,Norte,6880.0
CFG-COPEINCA,2022,T2,Norte,46325.0
CFG-COPEINCA,2023,T1,Norte,8040.3
CFG-COPEINCA,2024,T1,Norte,172779.6419548
CFG-COPEINCA,2024,T2,Norte,594.3441339
CFG-COPEINCA,2025,T1,Norte,11358.9570233
CFG-COPEINCA,2025,T2,Norte,16530.0
HAYDUK,2015,T2,Norte,1210.0
HAYDUK,2016,T1,Norte,250.0
HAYDUK,2016,T2,Norte,12480.0
HAYDUK,2017,T1,Norte,63980.0
HAYDUK,2018,T1,Norte,9460.0
HAYDUK,2018,T2,Norte,460.0
HAYDUK,2019,T1,Norte,70215.0
HAYDUK,2019,T2,Norte,590.0
HAYDUK,2020,T1,Norte,26740.0
HAYDUK,2020,T2,Norte,14630.0
HAYDUK,2021,T1,Norte,21750.0
HAYDUK,2021,T2,Norte,4195.0
HAYDUK,2022,T1,Norte,90.0
HAYDUK,2022,T2,Norte,18660.0
HAYDUK,2023,T1,Norte,5085.0
HAYDUK,2024,T1,Norte,53036.4122226
HAYDUK,2024,T2,Norte,290.0
HAYDUK,2025,T1,Norte,7547.662346
HAYDUK,2025,T2,Norte,7493.0
PESQUERA CENTINELA S.A.C,2019,T1,Norte,18180.0
PESQUERA CENTINELA S.A.C,2019,T2,Norte,180.0
PESQUERA CENTINELA S.A.C,2020,T1,Norte,280.0
PESQUERA CENTINELA S.A.C,2020,T2,Norte,2470.0
PESQUERA CENTINELA S.A.C,2021,T1,Norte,7000.0
PESQUERA CENTINELA S.A.C,2022,T2,Norte,2610.0
PESQUERA CENTINELA S.A.C,2024,T1,Norte,740.0
PESQUERA CENTINELA S.A.C,2025,T2,Norte,4060.0
PESQUERA DIAMANTE S.A.,2016,T2,Norte,13270.0
PESQUERA DIAMANTE S.A.,2017,T1,Norte,31157.0
PESQUERA DIAMANTE S.A.,2018,T1,Norte,5870.0
PESQUERA DIAMANTE S.A.,2018,T2,Norte,1525.0
PESQUERA DIAMANTE S.A.,2019,T1,Norte,35055.0
PESQUERA DIAMANTE S.A.,2019,T2,Norte,2380.0
PESQUERA DIAMANTE S.A.,2020,T1,Norte,8155.0
PESQUERA DIAMANTE S.A.,2020,T2,Norte,9935.0
PESQUERA DIAMANTE S.A.,2021,T1,Norte,21360.0
PESQUERA DIAMANTE S.A.,2021,T2,Norte,5110.0
PESQUERA DIAMANTE S.A.,2022,T1,Norte,30.0
PESQUERA DIAMANTE S.A.,2022,T2,Norte,12470.0
PESQUERA DIAMANTE S.A.,2023,T1,Norte,2325.0
PESQUERA DIAMANTE S.A.,2024,T1,Norte,49703.3765206
PESQUERA DIAMANTE S.A.,2024,T2,Norte,1245.0
PESQUERA DIAMANTE S.A.,2025,T1,Norte,5936.8978827
PESQUERA DIAMANTE S.A.,2025,T2,Norte,11213.0
PESQUERA EXALMAR S.A.A.,2018,T1,Norte,4515.0
PESQUERA EXALMAR S.A.A.,2019,T1,Norte,32965.0
PESQUERA EXALMAR S.A.A.,2019,T2,Norte,535.0
PESQUERA EXALMAR S.A.A.,2020,T1,Norte,14535.0
PESQUERA EXALMAR S.A.A.,2020,T2,Norte,3775.0
PESQUERA EXALMAR S.A.A.,2021,T1,Norte,3100.0
PESQUERA EXALMAR S.A.A.,2021,T2,Norte,340.0
PESQUERA EXALMAR S.A.A.,2022,T2,Norte,900.0
PESQUERA EXALMAR S.A.A.,2024,T1,Norte,3154.1451926
PESQUERA EXALMAR S.A.A.,2025,T1,Norte,120.0
TASA,2015,T2,Norte,450.0
TASA,2016,T1,Norte,14440.0
TASA,2016,T2,Norte,19224.53
TASA,2017,T1,Norte,49787.6
TASA,2018,T1,Norte,8705.0
TASA,2019,T1,Norte,68575.0
TASA,2019,T2,Norte,510.0
TASA,2020,T1,Norte,32980.0
TASA,2020,T2,Norte,5230.0
TASA,2021,T1,Norte,21755.0
TASA,2021,T2,Norte,5335.0
TASA,2022,T1,Norte,480.0
TASA,2022,T2,Norte,11615.0
TASA,2023,T1,Norte,4270.0
TASA,2024,T1,Norte,68725.0233014
TASA,2024,T2,Norte,1478.7657464
TASA,2025,T1,Norte,12145.5059561
TASA,2025,T2,Norte,11395.0
AUSTRAL GROUP SAA,2015,T2,Centro Norte,5630.0
AUSTRAL GROUP SAA,2016,T1,Centro Norte,18190.0
AUSTRAL GROUP SAA,2016,T2,Centro Norte,71130.0
AUSTRAL GROUP SAA,2017,T1,Centro Norte,32775.0
AUSTRAL GROUP SAA,2017,T2,Centro Norte,70.0
AUSTRAL GROUP SAA,2018,T1,Centro Norte,121319.0
AUSTRAL GROUP SAA,2018,T2,Centro Norte,71680.0
AUSTRAL GROUP SAA,2019,T1,Centro Norte,39075.0
AUSTRAL GROUP SAA,2019,T2,Centro Norte,39090.0
AUSTRAL GROUP SAA,2020,T1,Centro Norte,90285.0
AUSTRAL GROUP SAA,2020,T2,Centro Norte,70995.0
AUSTRAL GROUP SAA,2021,T1,Centro Norte,106355.0
AUSTRAL GROUP SAA,2021,T2,Centro Norte,67640.0
AUSTRAL GROUP SAA,2022,T1,Centro Norte,66180.0
AUSTRAL GROUP SAA,2022,T2,Centro Norte,45915.0
AUSTRAL GROUP SAA,2023,T1,Centro Norte,290.0
AUSTRAL GROUP SAA,2023,T2,Centro Norte,29100.0
AUSTRAL GROUP SAA,2024,T1,Centro Norte,233653.1192168
AUSTRAL GROUP SAA,2024,T2,Centro Norte,70751.17582
