company,region,baseline_t1,baseline_t2
HAYDUK,Norte,25815.4075,6667.5556
TASA,Norte,28186.3129,6904.787
AUSTRAL GROUP SAA,Norte,12701.9621,4489.8571
PESQUERA CENTINELA S.A.C,Norte,6550.0,2330.0
CFG-COPEINCA,Norte,68735.2899,25000.168
PESQUERA DIAMANTE S.A.,Norte,17732.4749,7143.5
PESQUERA EXALMAR S.A.A.,Norte,9731.5242,1387.5
HAYDUK,Centro Norte,104577.3858,59169.7097
TASA,Centro Norte,152381.0875,88356.6214
AUSTRAL GROUP SAA,Centro Norte,77106.7008,47826.1978
PESQUERA CENTINELA S.A.C,Centro Norte,34720.7129,24908.7916
CFG-COPEINCA,Centro Norte,210105.5681,147389.295
PESQUERA DIAMANTE S.A.,Centro Norte,85656.1239,59823.0975
PESQUERA EXALMAR S.A.A.,Centro Norte,57596.2075,43707.5251
HAYDUK,Centro Sur,33045.2525,21745.0698
TASA,Centro Sur,126045.8426,83443.4177
AUSTRAL GROUP SAA,Centro Sur,72224.0717,39512.6843
PESQUERA CENTINELA S.A.C,Centro Sur,26282.7709,25299.9106
CFG-COPEINCA,Centro Sur,124515.9787,75639.7591
PESQUERA DIAMANTE S.A.,Centro Sur,99818.2165,57531.2874
PESQUERA EXALMAR S.A.A.,Centro Sur,87202.8845,66497.2149
HAYDUK,Todas,160133.5205,84393.2277
TASA,Todas,306613.243,169235.9371
AUSTRAL GROUP SAA,Todas,160762.5385,86604.0017
PESQUERA CENTINELA S.A.C,Todas,59938.3948,51244.2578
CFG-COPEINCA,Todas,403356.8367,234334.6528
PESQUERA DIAMANTE S.A.,Todas,201433.5678,117319.5406
PESQUERA EXALMAR S.A.A.,Todas,152097.7351,110997.5972
